login,password,firstName,lastName,address1,address2,creditCard,expDate
jimhawkins,treasure123,Jim,Hawkins,12 Main Street,123456,1234567890123456,12%2F26
longjohnsilver,pirate456,Long,John Silver,34 Pirate Cove,789012,9876543210987654,08%2F25
captainsmudge,shipmate789,Captain,Smudge,56 Treasure Island Way,345678,4567890123456789,03%2F27
blackdog,booty123,Black,Dog,78 Buccaneer Blvd,901234,3456789012345678,09%2F24
billybones,parrot777,Billy,Bones,90 Skull Rock Road,567890,2345678901234567,06%2F26
blindpew,treasurehunt1,Blind,Pew,23 X Marks the Spot Lane,234567,5678901234567890,11%2F25
benbowinnkeeper,rumlover99,Benbow,Innkeeper,45 Rum Barrel Lane,890123,6789012345678901,02%2F28
squiretrelawney,treasuremap1,Squire,Trelawney,67 Gold Doubloon Drive,456789,7890123456789012,07%2F27
drlivesey,shipdoctor123,Dr.,Livesey,89 Sea Shanty Street,012345,8901234567890123,04%2F26
captainflint,treasurechest99,Captain,Flint,10 Hidden Cove Lane,678901,0123456789012345,10%2F25
